node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,,,directed_route_id,activity_type,,,,,
100080,GREEN.1.11886,-76.969622,38.954928,directed_route_stop,,0,0,0,POINT (-76.969622 38.954928),,,"GREEN,1",,,,,,
100081,GREEN.1.1418,-77.029269,38.916915,directed_route_stop,,0,0,0,POINT (-77.029269 38.916915),,,"GREEN,1",,,,,,
100082,GREEN.1.21110,-76.911902,38.826922,directed_route_stop,,0,0,0,POINT (-76.911902 38.826922),,,"GREEN,1",,,,,,
100083,GREEN.1.25552,-77.032554,38.928611,directed_route_stop,,0,0,0,POINT (-77.032554 38.928611),,,"GREEN,1",,,,,,
100084,GREEN.1.25553,-77.024352,38.936155,directed_route_stop,,0,0,0,POINT (-77.024352 38.936155),,,"GREEN,1",,,,,,
100085,GREEN.1.3034,-76.956088,38.965152,directed_route_stop,,0,0,0,POINT (-76.956088 38.965152),,,"GREEN,1",,,,,,
100086,GREEN.1.308,-77.022027,38.914446,directed_route_stop,,0,0,0,POINT (-77.022027 38.914446),,,"GREEN,1",,,,,,
100087,GREEN.1.4655,-76.98796,38.845279,directed_route_stop,,0,0,0,POINT (-76.987960 38.845279),,,"GREEN,1",,,,,,
100088,GREEN.1.5017,-77.0217,38.884786,directed_route_stop,,0,0,0,POINT (-77.021700 38.884786),,,"GREEN,1",,,,,,
100089,GREEN.1.5305,-77.001964,38.951708,directed_route_stop,,0,0,0,POINT (-77.001964 38.951708),,,"GREEN,1",,,,,,
100090,GREEN.1.5759,-77.004849,38.876417,directed_route_stop,,0,0,0,POINT (-77.004849 38.876417),,,"GREEN,1",,,,,,
100091,GREEN.1.6751,-76.995425,38.862017,directed_route_stop,,0,0,0,POINT (-76.995425 38.862017),,,"GREEN,1",,,,,,
100092,GREEN.1.7376,-77.017289,38.876378,directed_route_stop,,0,0,0,POINT (-77.017289 38.876378),,,"GREEN,1",,,,,,
100093,GREEN.1.7474,-77.021627,38.898254,directed_route_stop,,0,0,0,POINT (-77.021627 38.898254),,,"GREEN,1",,,,,,
100094,GREEN.1.7477,-77.021692,38.893807,directed_route_stop,,0,0,0,POINT (-77.021692 38.893807),,,"GREEN,1",,,,,,
100095,GREEN.1.7681,-76.975103,38.840947,directed_route_stop,,0,0,0,POINT (-76.975103 38.840947),,,"GREEN,1",,,,,,
100096,GREEN.1.7686,-76.956414,38.851064,directed_route_stop,,0,0,0,POINT (-76.956414 38.851064),,,"GREEN,1",,,,,,
100097,ORANGE.0.11332,-77.072054,38.895393,directed_route_stop,,0,0,0,POINT (-77.072054 38.895393),,,"ORANGE,0",,,,,,
100098,ORANGE.0.11602,-77.228754,38.883046,directed_route_stop,,0,0,0,POINT (-77.228754 38.883046),,,"ORANGE,0",,,,,,
100099,ORANGE.0.11610,-77.271463,38.877781,directed_route_stop,,0,0,0,POINT (-77.271463 38.877781),,,"ORANGE,0",,,,,,
100100,ORANGE.0.12282,-77.156667,38.885942,directed_route_stop,,0,0,0,POINT (-77.156667 38.885942),,,"ORANGE,0",,,,,,
100101,ORANGE.0.12488,-77.084923,38.891231,directed_route_stop,,0,0,0,POINT (-77.084923 38.891231),,,"ORANGE,0",,,,,,
100102,ORANGE.0.12631,-77.11165,38.882138,directed_route_stop,,0,0,0,POINT (-77.111650 38.882138),,,"ORANGE,0",,,,,,
100103,ORANGE.0.12648,-77.095087,38.887076,directed_route_stop,,0,0,0,POINT (-77.095087 38.887076),,,"ORANGE,0",,,,,,
100104,ORANGE.0.12900,-77.005992,38.885569,directed_route_stop,,0,0,0,POINT (-77.005992 38.885569),,,"ORANGE,0",,,,,,
100105,ORANGE.0.12906,-77.028274,38.887487,directed_route_stop,,0,0,0,POINT (-77.028274 38.887487),,,"ORANGE,0",,,,,,
100106,ORANGE.0.12922,-77.103909,38.882974,directed_route_stop,,0,0,0,POINT (-77.103909 38.882974),,,"ORANGE,0",,,,,,
100107,ORANGE.0.14118,-77.188971,38.900638,directed_route_stop,,0,0,0,POINT (-77.188971 38.900638),,,"ORANGE,0",,,,,,
100108,ORANGE.0.2124,-76.890105,38.933894,directed_route_stop,,0,0,0,POINT (-76.890105 38.933894),,,"ORANGE,0",,,,,,
100109,ORANGE.0.25426,-76.947816,38.898213,directed_route_stop,,0,0,0,POINT (-76.947816 38.898213),,,"ORANGE,0",,,,,,
100110,ORANGE.0.2658,-76.870545,38.946812,directed_route_stop,,0,0,0,POINT (-76.870545 38.946812),,,"ORANGE,0",,,,,,
100111,ORANGE.0.5017,-77.0217,38.884786,directed_route_stop,,0,0,0,POINT (-77.021700 38.884786),,,"ORANGE,0",,,,,,
100112,ORANGE.0.5030,-76.935669,38.907845,directed_route_stop,,0,0,0,POINT (-76.935669 38.907845),,,"ORANGE,0",,,,,,
100113,ORANGE.0.5110,-76.977268,38.885882,directed_route_stop,,0,0,0,POINT (-76.977268 38.885882),,,"ORANGE,0",,,,,,
100114,ORANGE.0.6479,-76.99511,38.884048,directed_route_stop,,0,0,0,POINT (-76.995110 38.884048),,,"ORANGE,0",,,,,,
100115,ORANGE.0.6553,-76.985497,38.880774,directed_route_stop,,0,0,0,POINT (-76.985497 38.880774),,,"ORANGE,0",,,,,,
100116,ORANGE.0.7333,-77.015636,38.884881,directed_route_stop,,0,0,0,POINT (-77.015636 38.884881),,,"ORANGE,0",,,,,,
100117,ORANGE.0.7588,-77.027877,38.898227,directed_route_stop,,0,0,0,POINT (-77.027877 38.898227),,,"ORANGE,0",,,,,,
100118,ORANGE.0.7671,-77.027996,38.893689,directed_route_stop,,0,0,0,POINT (-77.027996 38.893689),,,"ORANGE,0",,,,,,
100119,ORANGE.0.7812,-77.032058,38.901235,directed_route_stop,,0,0,0,POINT (-77.032058 38.901235),,,"ORANGE,0",,,,,,
100120,ORANGE.0.7932,-77.039582,38.901266,directed_route_stop,,0,0,0,POINT (-77.039582 38.901266),,,"ORANGE,0",,,,,,
100121,ORANGE.0.8040,-77.050126,38.900605,directed_route_stop,,0,0,0,POINT (-77.050126 38.900605),,,"ORANGE,0",,,,,,
100122,ORANGE.0.999,-76.915204,38.916452,directed_route_stop,,0,0,0,POINT (-76.915204 38.916452),,,"ORANGE,0",,,,,,
100123,ORANGE.1.11332,-77.072054,38.895393,directed_route_stop,,0,0,0,POINT (-77.072054 38.895393),,,"ORANGE,1",,,,,,
100124,ORANGE.1.11602,-77.228754,38.883046,directed_route_stop,,0,0,0,POINT (-77.228754 38.883046),,,"ORANGE,1",,,,,,
100125,ORANGE.1.11610,-77.271463,38.877781,directed_route_stop,,0,0,0,POINT (-77.271463 38.877781),,,"ORANGE,1",,,,,,
100126,ORANGE.1.12282,-77.156667,38.885942,directed_route_stop,,0,0,0,POINT (-77.156667 38.885942),,,"ORANGE,1",,,,,,
100127,ORANGE.1.12488,-77.084923,38.891231,directed_route_stop,,0,0,0,POINT (-77.084923 38.891231),,,"ORANGE,1",,,,,,
100128,ORANGE.1.12631,-77.11165,38.882138,directed_route_stop,,0,0,0,POINT (-77.111650 38.882138),,,"ORANGE,1",,,,,,
